Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Togo,Africa,5041,608.91,405,119,77,9.3,3,1,Community transmission
Nicaragua,Americas,4992,753.56,39,0,169,25.51,1,0,Community transmission
Central African Republic,Africa,4981,1031.31,1,0,63,13.04,0,0,Community transmission
Somalia,Eastern Mediterranean,4784,301.01,30,0,130,8.18,0,0,Community transmission
Curaçao,Americas,4574,27874.44,37,0,20,121.88,0,0,Community transmission
Niger,Africa,4516,186.56,195,27,159,6.57,8,0,Community transmission
Gibraltar,Europe,4096,121575.49,191,14,73,2166.75,14,3,Clusters of cases
Gambia,Africa,4090,1692.41,132,0,128,52.97,0,0,Community transmission
South Sudan,Africa,3961,353.86,188,0,64,5.72,0,0,Community transmission
Benin,Africa,3786,312.29,143,0,48,3.96,0,0,Community transmission
Sierra Leone,Africa,3528,442.27,408,146,79,9.9,2,0,Community transmission
Chad,Africa,3347,203.76,210,26,118,7.18,3,0,Community transmission
Jersey,Europe,3143,28887.87,39,3,66,606.62,3,1,Community transmission
San Marino,Europe,3025,89133.13,151,29,67,1974.19,2,2,Community transmission
Comoros,Africa,2718,3125.57,458,72,90,103.5,20,1,Community transmission
Guinea-Bissau,Africa,2623,1332.82,92,9,45,22.87,0,0,Community transmission
Liechtenstein,Europe,2561,67152.63,50,0,46,1206.18,0,0,Sporadic cases
United States Virgin Islands,Americas,2398,22963.85,63,0,24,229.83,0,0,Community transmission
Eritrea,Africa,2135,602.02,195,0,7,1.97,1,0,Sporadic cases
Yemen,Eastern Mediterranean,2124,71.21,2,0,616,20.65,0,0,Community transmission
New Zealand,Western Pacific,1948,403.96,22,1,25,5.18,0,0,Clusters of cases
Liberia,Africa,1939,383.38,25,0,84,16.61,0,0,Community transmission
Sint Maarten,Americas,1822,42488.69,114,0,27,629.63,0,0,Community transmission
Viet Nam,Western Pacific,1781,18.3,233,42,35,0.36,0,0,Clusters of cases
Mongolia,Western Pacific,1742,531.37,131,32,2,0.61,0,0,Clusters of cases
Burundi,Africa,1632,137.25,160,19,2,0.17,0,0,Community transmission
Barbados,Americas,1498,5212.7,255,51,12,41.76,3,1,Community transmission
Monaco,Europe,1475,37585.36,130,18,12,305.78,4,0,Sporadic cases
Turks and Caicos Islands,Americas,1459,37682.73,215,24,8,206.62,1,0,Clusters of cases
Saint Martin,Americas,1289,33342.82,98,98,12,310.41,0,0,Community transmission
Sao Tome and Principe,Africa,1256,5731,74,11,17,77.57,0,0,Community transmission
Saint Lucia,Americas,1195,6507.76,425,89,13,70.8,3,0,Sporadic cases
Seychelles,Africa,1186,12059.34,153,29,3,30.5,0,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,896,8076.44,176,31,2,18.03,0,0,Clusters of cases
Bhutan,South-East Asia,858,1111.96,4,0,1,1.3,0,0,Clusters of cases
Papua New Guinea,Western Pacific,851,95.12,2,0,9,1.01,0,0,Community transmission
Other,Other,745,,0,0,13,,0,0,Not applicable
Bermuda,Americas,691,11096.3,5,1,12,192.7,0,0,Sporadic cases
Faroe Islands,Europe,654,13383.81,2,0,1,20.46,0,0,Sporadic cases
Mauritius,Africa,568,446.62,12,0,10,7.86,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
Cambodia,Western Pacific,465,27.81,7,1,0,0,0,0,Sporadic cases
Guernsey,Europe,449,7104.88,139,35,13,205.71,0,0,Community transmission
Isle of Man,Europe,434,5103.96,2,2,25,294.01,0,0,No cases
Cayman Islands,Americas,390,5934.27,7,3,2,30.43,0,0,Sporadic cases
Saint Barthélemy,Americas,379,38340.92,3,3,0,0,0,0,Sporadic cases
Bonaire,Americas,362,17308.15,12,0,3,143.44,0,0,Community transmission
Antigua and Barbuda,Americas,218,2226.1,23,0,7,71.48,1,1,Sporadic cases
Brunei Darussalam,Western Pacific,180,411.45,5,0,3,6.86,0,0,Sporadic cases
Grenada,Americas,148,1315.29,1,0,1,8.89,0,0,Sporadic cases
British Virgin Islands,Americas,141,4663.16,4,0,1,33.07,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,132,2293.38,0,0,2,34.75,0,0,Pending
Dominica,Americas,117,1625.2,4,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,70,53.09,3,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,55,61.35,0,0,2,2.23,0,0,Sporadic cases
New Caledonia,Western Pacific,47,164.62,3,0,0,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,44,6.05,1,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,40,11484.35,3,2,0,0,0,0,No cases
Saint Kitts and Nevis,Americas,37,695.59,2,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,528.43,0,0,0,0,0,0,No cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,4141.5,4,0,0,0,0,0,Clusters of cases
Sint Eustatius,Americas,20,6371.46,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,17,1133.18,2,1,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,No cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Saba,Americas,6,3103.98,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,5,444.6,1,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,No cases
Samoa,Western Pacific,2,10.08,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
